name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano da observação,Year of the observation,Año de la observación,,no,,year,no,Coluna de partição da tabela. | Partition column of the table. | Columna de partición de la tabla.,
station_id,STRING,Código de identificação da estação no GHCN-Daily,GHCN-Daily station identification code,Código de identificación de la estación en GHCN-Daily,,no,,,no,Referencia station.station_id. Coluna de clusterização da tabela. | References station.station_id. Clustering column of the table. | Referencia station.station_id. Columna de clusterización de la tabla.,ID
date,DATE,Data da observação,Date of the observation,Fecha de la observación,,no,,,no,,YEAR/MONTH/DAY
element,STRING,Código do elemento meteorológico observado,Code of the meteorological element observed,Código del elemento meteorológico observado,,yes,,,no,"Restrito aos cinco elementos principais do GHCN-Daily: TMAX, TMIN, PRCP, SNOW e SNWD. | Restricted to the five core GHCN-Daily elements: TMAX, TMIN, PRCP, SNOW and SNWD. | Restringido a los cinco elementos principales de GHCN-Daily: TMAX, TMIN, PRCP, SNOW y SNWD.",ELEMENT
value,FLOAT64,"Valor observado do elemento, convertido para a unidade padrão indicada em measurement_unit","Observed value of the element, converted to the standard unit given in measurement_unit","Valor observado del elemento, convertido a la unidad estándar indicada en measurement_unit",,no,,,no,"A unidade varia por elemento e está registrada na coluna measurement_unit de cada linha: graus Celsius para TMAX e TMIN, milímetros para PRCP, SNOW e SNWD. Por isso esta coluna não tem uma unidade de medida única no nível da coluna. Os fatores de escala da fonte já foram aplicados: PRCP vem em décimos de milímetro e TMAX/TMIN em décimos de grau, mas SNOW e SNWD já vêm em milímetros inteiros. O sentinela -9999 da fonte foi removido. | The unit varies by element and is recorded per row in the measurement_unit column: degrees Celsius for TMAX and TMIN, millimetres for PRCP, SNOW and SNWD. This column therefore carries no single column-level measurement unit. The source scaling factors have already been applied: PRCP arrives in tenths of a millimetre and TMAX/TMIN in tenths of a degree, but SNOW and SNWD already arrive in whole millimetres. The source sentinel -9999 was removed. | La unidad varía según el elemento y se registra por fila en la columna measurement_unit: grados Celsius para TMAX y TMIN, milímetros para PRCP, SNOW y SNWD. Por eso esta columna no tiene una unidad de medida única a nivel de columna. Los factores de escala de la fuente ya fueron aplicados: PRCP viene en décimas de milímetro y TMAX/TMIN en décimas de grado, pero SNOW y SNWD ya vienen en milímetros enteros. El centinela -9999 de la fuente fue eliminado.",DATA VALUE
measurement_unit,STRING,Unidade de medida do valor observado nesta linha,Unit of measurement of the observed value in this row,Unidad de medida del valor observado en esta fila,,no,,,no,"Assume celsius para TMAX e TMIN, e millimeter para PRCP, SNOW e SNWD. | Takes celsius for TMAX and TMIN, and millimeter for PRCP, SNOW and SNWD. | Toma celsius para TMAX y TMIN, y millimeter para PRCP, SNOW y SNWD.",
measurement_flag,STRING,Sinalizador de medição que qualifica como o valor foi obtido,Measurement flag qualifying how the value was obtained,Indicador de medición que califica cómo se obtuvo el valor,,yes,,,no,Nulo quando nenhuma informação de medição se aplica. | Null when no measurement information is applicable. | Nulo cuando no aplica información de medición.,M-FLAG
quality_flag,STRING,Sinalizador de qualidade que indica qual teste de controle de qualidade a observação reprovou,Quality flag indicating which quality assurance check the observation failed,Indicador de calidad que señala qué prueba de control de calidad reprobó la observación,,yes,,,no,"Um valor não nulo significa que a observação FALHOU no teste de qualidade indicado e o valor não deve ser usado sem avaliação. Filtre por quality_flag IS NULL para manter apenas observações aprovadas. Em 2024, 0,08% das linhas têm sinalizador não nulo, e todos os valores fisicamente impossíveis verificados (TMAX acima de 60 graus, profundidade de neve negativa) estavam sinalizados. | A non-null value means the observation FAILED the named quality assurance check and the value should not be used without assessment. Filter on quality_flag IS NULL to keep only observations that passed. In 2024, 0.08% of rows carry a non-null flag, and every physically impossible value checked (TMAX above 60 degrees, negative snow depth) was flagged. | Un valor no nulo significa que la observación FALLÓ la prueba de calidad indicada y el valor no debe usarse sin evaluación. Filtre por quality_flag IS NULL para conservar solo observaciones aprobadas. En 2024, el 0,08% de las filas tiene un indicador no nulo, y todos los valores físicamente imposibles verificados estaban señalados.",Q-FLAG
source_flag,STRING,Sinalizador de fonte que identifica o conjunto de dados de origem do valor,Source flag identifying the dataset the value originated from,Indicador de fuente que identifica el conjunto de datos de origen del valor,,yes,,,no,,S-FLAG
observation_time,STRING,"Horário da observação no formato HHMM, hora local","Time of observation in HHMM format, local time","Hora de la observación en formato HHMM, hora local",,no,,,no,"Mantido como texto porque é um horário de relógio, não uma quantidade. Preenchido a partir da base HOMR do NCEI e frequentemente nulo. | Kept as text because it is a clock time, not a quantity. Populated from NCEI's HOMR station history database and frequently null. | Se mantiene como texto porque es una hora de reloj, no una cantidad. Se completa desde la base HOMR del NCEI y suele ser nulo.",OBS-TIME
