name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_es,observations_pt,observations_es
year,INT64,Year of the sitting day,1901(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column. Derived from the sitting date,date,Ano do dia de sessão,Año del día de sesión,Partition column. Derived from the sitting date,Partition column. Derived from the sitting date
date,DATE,Date of the sitting day on which the utterance was made,,no,,,no,,date,Data do dia de sessão em que a fala foi proferida,Fecha del día de sesión en que se produjo la intervención,,
chamber,STRING,Chamber in which the utterance was made,,no,,,no,"Two values: House of Representatives, Senate. Stored as readable labels rather than codes",chamber,Câmara em que a fala foi proferida,Cámara en que se produjo la intervención,"Dois valores: House of Representatives, Senate. Armazenado como rótulo legível, não como código","Dos valores: House of Representatives, Senate. Almacenado como etiqueta legible, no como código"
parliament_number,STRING,Ordinal number of the Parliament in session,,no,,,no,"Stored as STRING because it labels a Parliament rather than measuring a quantity. Unreliable in ParlInfo from late 2021, where the header restarts at 1 rather than continuing 46, 47, 48 - every 2026 row reads 3. Null on years refreshed from OpenAustralia, which does not carry it",parliament.no,Número ordinal do Parlamento em exercício,Número ordinal del Parlamento en ejercicio,"Armazenado como STRING porque rotula um Parlamento em vez de medir uma quantidade. Pouco confiável no ParlInfo a partir do fim de 2021, quando o cabeçalho reinicia em 1 em vez de seguir 46, 47, 48 - toda linha de 2026 traz 3. Nulo nos anos atualizados pelo OpenAustralia, que não o traz","Almacenado como STRING porque etiqueta un Parlamento en lugar de medir una cantidad. Poco fiable en ParlInfo desde fines de 2021, cuando la cabecera reinicia en 1 en vez de seguir 46, 47, 48 - cada fila de 2026 trae 3. Nulo en los años actualizados por OpenAustralia, que no lo trae"
session_number,STRING,Ordinal number of the session within the Parliament,,no,,,no,,session.no,Número ordinal da sessão dentro do Parlamento,Número ordinal de la sesión dentro del Parlamento,,
period_number,STRING,Ordinal number of the sitting period within the session,,no,,,no,,period.no,Número ordinal do período de sessões dentro da sessão,Número ordinal del período de sesiones dentro de la sesión,,
speech_order,STRING,Sequential position of the utterance within the sitting day,,no,,,no,"Sequence number, counted from 1 in document order. Stored as STRING because it is a position label, not a quantity",,Posição sequencial da fala dentro do dia de sessão,Posición secuencial de la intervención dentro del día de sesión,"Sequence number, counted from 1 in document order. Stored as STRING because it is a position label, not a quantity","Sequence number, counted from 1 in document order. Stored as STRING because it is a position label, not a quantity"
speaker_id,STRING,Identifier assigned by the Parliament to the speaker,,no,,,no,"Not yet linked to a directory. An Australian person directory is planned. Three identifier schemes coexist: ParlInfo alphabetic codes before 1998, ParlInfo numeric codes to 2025, and OpenAustralia member ids on years refreshed from the mirror. A year is wholly one source, never a mix; sitting_day.source_url records which",name.id,Identificador atribuído pelo Parlamento ao orador,Identificador asignado por el Parlamento al orador,"Ainda não vinculado a um diretório. Um diretório de pessoas da Austrália está previsto. Convivem três esquemas de identificação: códigos alfabéticos do ParlInfo antes de 1998, códigos numéricos do ParlInfo até 2025 e ids de membro do OpenAustralia nos anos atualizados pelo espelho. Cada ano vem de uma única fonte, nunca misturada; sitting_day.source_url indica qual","Aún no vinculado a un directorio. Está previsto un directorio de personas de Australia. Conviven tres esquemas de identificación: códigos alfabéticos de ParlInfo antes de 1998, códigos numéricos de ParlInfo hasta 2025 e ids de miembro de OpenAustralia en los años actualizados por el espejo. Cada año proviene de una sola fuente, nunca mezclada; sitting_day.source_url indica cuál"
talk_type,STRING,Kind of utterance,,yes,,,no,"speech is an opening turn, interjection is an interruption by another member, continuation is the original speaker resuming after an interjection",,Tipo de intervenção,Tipo de intervención,"speech é o início de um discurso, interjection é um aparte de outro parlamentar, continuation é a retomada da palavra pelo orador original após um aparte","speech es el inicio de un discurso, interjection es una interrupción de otro parlamentario, continuation es la reanudación de la palabra por el orador original tras una interrupción"
debate_type,STRING,Category of business assigned to the debate by Hansard,,no,,,no,"Free-text category from the source; values are not standardised across eras. ParlInfo stores the same string here as in debate_title, and OpenAustralia's major-heading carries it verbatim, so the source switch preserves this column",type,Categoria de matéria atribuída ao debate pelo Hansard,Categoría de materia asignada al debate por el Hansard,"Categoria em texto livre vinda da fonte; os valores não são padronizados entre as épocas. O ParlInfo grava aqui a mesma string de debate_title, e o major-heading do OpenAustralia a traz literalmente, de modo que a troca de fonte preserva esta coluna","Categoría en texto libre proveniente de la fuente; los valores no están estandarizados entre épocas. ParlInfo graba aquí la misma cadena que en debate_title, y el major-heading de OpenAustralia la trae literalmente, por lo que el cambio de fuente preserva esta columna"
debate_title,STRING,Title of the debate under which the utterance was recorded,,no,,,no,,title,Título do debate sob o qual a fala foi registrada,Título del debate bajo el cual se registró la intervención,,
subdebate_title,STRING,Title of the subdebate under which the utterance was recorded,,no,,,no,Null when the utterance sits directly under a debate with no subdebate,title,Título do subdebate sob o qual a fala foi registrada,Título del subdebate bajo el cual se registró la intervención,Null when the utterance sits directly under a debate with no subdebate,Null when the utterance sits directly under a debate with no subdebate
speaker_name,STRING,Name of the speaker as recorded in the transcript,,no,,,no,"Formatting varies by era: Mr MACDONALD-PATERSON in early transcripts, surname-first in recent ones. Not normalised",name,Nome do orador conforme registrado na transcrição,Nombre del orador según consta en la transcripción,"Formatting varies by era: Mr MACDONALD-PATERSON in early transcripts, surname-first in recent ones. Not normalised","Formatting varies by era: Mr MACDONALD-PATERSON in early transcripts, surname-first in recent ones. Not normalised"
electorate,STRING,Electorate or state the speaker represents,,no,,,no,"For members of the House this is a division; for senators a state or territory. The source states it only on a member's opening turn, so it is completed across that member's other turns within the same sitting day from the source's own value (see observations on party). Around 81% filled in 1901 and 93% in 2001; near 40% for 1981-1997, where interjections carry neither an identifier nor a matching name form",electorate,Distrito eleitoral ou estado representado pelo orador,Distrito electoral o estado representado por el orador,"Para deputados é uma divisão eleitoral; para senadores, um estado ou território. A fonte informa o valor apenas na primeira fala do parlamentar, de modo que ele é completado nas demais falas do mesmo parlamentar dentro do mesmo dia de sessão a partir do valor da própria fonte. Cerca de 81% preenchido em 1901 e 93% em 2001; perto de 40% entre 1981 e 1997, época em que os apartes não trazem identificador nem forma de nome compatível","Para diputados es una división electoral; para senadores, un estado o territorio. La fuente informa el valor solo en la primera intervención del parlamentario, por lo que se completa en las demás intervenciones del mismo parlamentario dentro del mismo día de sesión a partir del valor de la propia fuente. Cerca del 81% completado en 1901 y 93% en 2001; cerca del 40% entre 1981 y 1997, época en que las interrupciones no traen identificador ni forma de nombre compatible"
party,STRING,Political party of the speaker,,no,,,no,"Recorded inconsistently. The source states party on a member's opening turn and leaves it blank on that member's interjections and continuations, so it is completed within a sitting day from the value the source itself gives for the same speaker_id (or, where the era gives no id, the same exact speaker_name). This is completion, not imputation: party cannot change within a sitting day. Names are never matched loosely, since that would attribute one member's party to another. Some historic transcripts store a career party history rather than the affiliation held on the day",party,Partido político do orador,Partido político del orador,"Registrado de forma inconsistente. A fonte informa o partido apenas na primeira fala de cada parlamentar e o deixa em branco nos apartes e retomadas, de modo que o valor é completado dentro do mesmo dia de sessão a partir do que a própria fonte informa para o mesmo speaker_id (ou, quando a época não traz identificador, o mesmo speaker_name exato). Trata-se de complementação, não de imputação: o partido não muda dentro de um dia de sessão. Nomes nunca são comparados de forma aproximada, o que atribuiria o partido de um parlamentar a outro. Algumas transcrições históricas registram o histórico partidário da carreira em vez da filiação vigente no dia","Registrado de forma inconsistente. La fuente informa el partido solo en la primera intervención de cada parlamentario y lo deja en blanco en las interrupciones y reanudaciones, por lo que el valor se completa dentro del mismo día de sesión a partir de lo que la propia fuente informa para el mismo speaker_id (o, cuando la época no trae identificador, el mismo speaker_name exacto). Es complementación, no imputación: el partido no cambia dentro de un día de sesión. Los nombres nunca se comparan de forma aproximada, lo que atribuiría el partido de un parlamentario a otro. Algunas transcripciones históricas registran el historial partidario de la carrera en vez de la afiliación vigente en el día"
role,STRING,Parliamentary or ministerial office held by the speaker,,no,,,no,"Populated for 1901-1997 and patchy to 2010; empty from 2012 on, where office appears inside the body text instead. The source stopped recording it during 2011. Completed within a sitting day on the same basis as party",role,Cargo parlamentar ou ministerial ocupado pelo orador,Cargo parlamentario o ministerial ocupado por el orador,"Preenchido entre 1901 e 1997 e irregular até 2010; vazio a partir de 2012, quando o cargo passa a aparecer dentro do texto da fala. A fonte deixou de registrá-lo no decorrer de 2011. Completado dentro do dia de sessão nos mesmos termos que o partido","Completado entre 1901 y 1997 e irregular hasta 2010; vacío a partir de 2012, cuando el cargo aparece dentro del texto de la intervención. La fuente dejó de registrarlo durante 2011. Completado dentro del día de sesión en los mismos términos que el partido"
in_government,STRING,Whether the speaker belonged to the governing party at the time,,yes,,,no,"Boolean stored as a 0/1 code so that blanks in the source stay distinguishable from a genuine No. Populated for 1901-1980, patchy for 1981-2010, and empty from 2012 on: the source stopped recording it during 2011",in.gov,Indica se o orador pertencia ao partido governante à época,Indica si el orador pertenecía al partido gobernante en ese momento,"Booleano armazenado como código 0/1 para que os brancos da fonte continuem distinguíveis de um Não genuíno. Preenchido entre 1901 e 1980, irregular entre 1981 e 2010 e vazio a partir de 2012: a fonte deixou de registrá-lo no decorrer de 2011","Booleano almacenado como código 0/1 para que los blancos de la fuente sigan siendo distinguibles de un No genuino. Completado entre 1901 y 1980, irregular entre 1981 y 2010 y vacío a partir de 2012: la fuente dejó de registrarlo durante 2011"
first_speech,STRING,Whether the utterance is the speaker's first speech to the chamber,,yes,,,no,"Boolean stored as a 0/1 code. Populated for 1901-1980, absent for 1981-1997, patchy for 1998-2010, and empty from 2012 on: the source stopped recording it during 2011",first.speech,Indica se a fala é o discurso inaugural do orador na câmara,Indica si la intervención es el discurso inaugural del orador en la cámara,"Booleano armazenado como código 0/1. Preenchido entre 1901 e 1980, ausente entre 1981 e 1997, irregular entre 1998 e 2010 e vazio a partir de 2012: a fonte deixou de registrá-lo no decorrer de 2011","Booleano almacenado como código 0/1. Completado entre 1901 y 1980, ausente entre 1981 y 1997, irregular entre 1998 y 2010 y vacío a partir de 2012: la fuente dejó de registrarlo durante 2011"
time_stamp,STRING,Clock time at which the utterance began,,no,,,no,"HH:MM, 24-hour. Taken from the source field where present, otherwise recovered from the time prefix in the body text. Absent from transcripts before 1981. About 56% populated on ParlInfo-sourced recent years and 100% on years refreshed from OpenAustralia, which records a time on every speech",time.stamp,Horário de início da fala,Hora de inicio de la intervención,"HH:MM, formato 24 horas. Extraído do campo da fonte quando presente, ou recuperado do prefixo de horário no texto da fala. Ausente nas transcrições anteriores a 1981. Cerca de 56% preenchido nos anos recentes vindos do ParlInfo e 100% nos anos atualizados pelo OpenAustralia, que registra horário em toda fala","HH:MM, formato 24 horas. Extraído del campo de la fuente cuando está presente, o recuperado del prefijo de hora en el texto de la intervención. Ausente en las transcripciones anteriores a 1981. Cerca del 56% completado en los años recientes provenientes de ParlInfo y 100% en los años actualizados por OpenAustralia, que registra hora en cada intervención"
page_number,STRING,Page of the printed Hansard on which the utterance begins,,no,,,no,"Stored as STRING because it is a page label, not a quantity. Null on years refreshed from OpenAustralia, which does not carry the printed page: this is the one field the source switch genuinely loses",page.no,Página do Hansard impresso em que a fala começa,Página del Hansard impreso en que comienza la intervención,"Armazenado como STRING por ser um rótulo de página, não uma quantidade. Nulo nos anos atualizados pelo OpenAustralia, que não traz a página impressa: é o único campo realmente perdido na troca de fonte","Almacenado como STRING por ser una etiqueta de página, no una cantidad. Nulo en los años actualizados por OpenAustralia, que no trae la página impresa: es el único campo realmente perdido en el cambio de fuente"
body,STRING,Full text of the utterance,,no,,,no,"Verbatim transcript text with whitespace collapsed. Recent transcripts embed a speaker and time prefix at the start of the text, for example Mr ALBANESE (Grayndler-Prime Minister) (09:32):. Note the source split: ParlInfo's modern XML names the interjector but leaves the interjection text empty, so on ParlInfo-sourced years from about 2015 every interjection and continuation row has a speaker and no words - 44% of 2026 rows before the switch. OpenAustralia carries that text, so years refreshed from the mirror are complete",,Texto integral da fala,Texto íntegro de la intervención,"Texto verbatim da transcrição, com espaços em branco normalizados. As transcrições recentes trazem um prefixo com nome e horário no início do texto, por exemplo Mr ALBANESE (Grayndler-Prime Minister) (09:32):. Atenção à divisão de fontes: o XML moderno do ParlInfo identifica quem aparteia mas deixa o texto do aparte vazio, de modo que nos anos vindos do ParlInfo, a partir de cerca de 2015, toda linha de aparte ou retomada tem orador e nenhuma palavra - 44% das linhas de 2026 antes da troca. O OpenAustralia traz esse texto, e os anos atualizados pelo espelho ficam completos","Texto literal de la transcripción, con espacios en blanco normalizados. Las transcripciones recientes traen un prefijo con nombre y hora al inicio del texto, por ejemplo Mr ALBANESE (Grayndler-Prime Minister) (09:32):. Atención a la división de fuentes: el XML moderno de ParlInfo identifica a quien interrumpe pero deja vacío el texto de la interrupción, de modo que en los años provenientes de ParlInfo, desde cerca de 2015, cada fila de interrupción o reanudación tiene orador y ninguna palabra - 44% de las filas de 2026 antes del cambio. OpenAustralia trae ese texto, y los años actualizados por el espejo quedan completos"
word_count,INT64,Number of whitespace-separated tokens in the utterance text,,no,,word,no,"Derived, not from the source. Counts tokens rather than dictionary words",,Número de tokens separados por espaço no texto da fala,Número de tokens separados por espacio en el texto de la intervención,"Derived, not from the source. Counts tokens rather than dictionary words","Derived, not from the source. Counts tokens rather than dictionary words"
